Contract ID,Reference IDV,Modification Number,Transaction Number,Award/IDV Type,Action Obligation ($),Date Signed,Solicitation Date,Contracting Agency ID,Contracting Agency,Contracting Office Name,PSC Type,PSC,PSC Description,NAICS,NAICS Description,Entity City,Entity State,Entity ZIP Code,Additional Reporting Code,Additional Reporting Description,Unique Entity ID,Ultimate Parent Unique Entity ID,Ultimate Parent Legal Business Name,Legal Business Name,CAGE Code,
"FA855323F0001","FA855321D0001","0","0","DO Delivery Order","$14,825,404.08","Dec 14, 2022","Nov 16, 2022","5700","DEPT OF THE AIR FORCE","FA8553  AFLCMC WLNKB","S","J015","MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS","336412","AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING","MARIETTA","GA","300630001","NONE","NONE OF THE ABOVE","SJDEB3MKJEW5","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","98897",
"FA861520F0001","FA861520D6052","P00006","0","DO Delivery Order","$54,348,153.56","Jul 22, 2022",,"5700","DEPT OF THE AIR FORCE","FA8615 AFLCMC WAMK F16","P","1510","AIRCRAFT, FIXED WING","336411","AIRCRAFT MANUFACTURING","FORT WORTH","TX","761083619","NONE","NONE OF THE ABOVE","G4KDGE4JFFK7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","81755",
"FA862122F6264","FA862115D6276","0","0","DO Delivery Order","$27,532,269.00","Sep 29, 2022","Sep 22, 2021","5700","DEPT OF THE AIR FORCE","FA8621 AFLCMC WNSK SIMS","S","J069","MAINT/REPAIR/REBUILD OF EQUIPMENT- TRAINING AIDS AND DEVICES","336413","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","ORLANDO","FL","328255002","NONE","NONE OF THE ABOVE","KDT2YLB34NT6","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","16331",
"FA862518F7027","FA862516D6458","P00028","10","DO Delivery Order","$308,628,076.60","Apr 29, 2022","Apr 27, 2018","5700","DEPT OF THE AIR FORCE","FA8625  AFLCMC WLNK C130","P","1510","AIRCRAFT, FIXED WING","336411","AIRCRAFT MANUFACTURING","MARIETTA","GA","300630001","NONE","NONE OF THE ABOVE","SJDEB3MKJEW5","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","98897",
"FA868222F1031","FA868217D0002","0","16","DO Delivery Order","$19,653,953.37","Mar 31, 2022","Jun 29, 2021","5700","DEPT OF THE AIR FORCE","FA8682  AFLCMC EBJK","P","1425","GUIDED MISSILE SYSTEMS, COMPLETE","336414","GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING","ORLANDO","FL","328198907","NONE","NONE OF THE ABOVE","H7PNSVNN5827","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","04939",
"FA868222F1034","FA868217D0002","0","0","DO Delivery Order","$14,710,092.00","Feb 1, 2022","Aug 23, 2021","5700","DEPT OF THE AIR FORCE","FA8682  AFLCMC EBJK","P","1425","GUIDED MISSILE SYSTEMS, COMPLETE","336414","GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING","ORLANDO","FL","328198907","NONE","NONE OF THE ABOVE","H7PNSVNN5827","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","04939",
"FA880708C0010",,"P00694","5","DCA Definitive Contract","$12,624,902.30","Jun 30, 2022",,"5700","DEPT OF THE AIR FORCE","FA8807 MIL COMM AND PNT SSC/CGK","P","1810","SPACE VEHICLES","336414","GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING","LITTLETON","CO","801258504",,,"FYHNA5WC8XD7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","04236",
"FA880718C0009",,"P00090","10","DCA Definitive Contract","$80,000,000.00","Jan 25, 2022","Mar 13, 2018","5700","DEPT OF THE AIR FORCE","FA8807 MIL COMM AND PNT SSC/CGK","P","1555","SPACE VEHICLES","336414","GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING","LITTLETON","CO","801258504","NONE","NONE OF THE ABOVE","FYHNA5WC8XD7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","04236",
"FA881013C0001",,"P00103","4","DCA Definitive Contract","$10,874,690.39","Sep 6, 2022",,"5700","DEPT OF THE AIR FORCE","FA8810  SPACE SENSING SSC/SNK","P","1810","SPACE VEHICLES","336414","GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING","SUNNYVALE","CA","940891212",,,"CQWLW9XRQTH5","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","06887",
"FA881018C0005",,"P00089","4","DCA Definitive Contract","$119,659,159.00","Nov 30, 2022","May 24, 2018","5700","DEPT OF THE AIR FORCE","FA8810  SPACE SENSING SSC/SNK","S","AC24","NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; R&D ADMINISTRATIVE EXPENSES","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","SUNNYVALE","CA","940891212","NONE","NONE OF THE ABOVE","CQWLW9XRQTH5","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","06887",
"FA882321C0001",,"P00018","0","DCA Definitive Contract","$13,525,629.78","Jan 25, 2022","Mar 31, 2020","5700","DEPT OF THE AIR FORCE","FA8823  SUSTAINMENT MCPNT SSC/PKL","S","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","336414","GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING","LITTLETON","CO","801258504","NONE","NONE OF THE ABOVE","FYHNA5WC8XD7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","04236",
"FA882321C0001",,"P00029","0","DCA Definitive Contract","$89,608,551.96","May 12, 2022","Mar 31, 2020","5700","DEPT OF THE AIR FORCE","FA8823  SUSTAINMENT MCPNT SSC/PKL","S","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","336414","GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING","LITTLETON","CO","801258504","NONE","NONE OF THE ABOVE","FYHNA5WC8XD7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","04236",
"FA882321F2006","FA882320D0001","P00016","0","DO Delivery Order","$46,386,280.75","Oct 25, 2022","Dec 16, 2020","5700","DEPT OF THE AIR FORCE","FA8823  SUSTAINMENT MCPNT SSC/PKL","S","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","541330","ENGINEERING SERVICES","LITTLETON","CO","801258504","NONE","NONE OF THE ABOVE","FYHNA5WC8XD7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","04236",
"FA882322F2007","FA882320D0001","0","0","DO Delivery Order","$25,000,000.00","Apr 8, 2022","Aug 4, 2021","5700","DEPT OF THE AIR FORCE","FA8823  SUSTAINMENT MCPNT SSC/PKL","S","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","541330","ENGINEERING SERVICES","LITTLETON","CO","801258504","NONE","NONE OF THE ABOVE","FYHNA5WC8XD7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","04236",
"FA882322F2007","FA882320D0001","P00001","0","DO Delivery Order","$20,000,000.00","Sep 21, 2022","Aug 4, 2021","5700","DEPT OF THE AIR FORCE","FA8823  SUSTAINMENT MCPNT SSC/PKL","S","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","541330","ENGINEERING SERVICES","LITTLETON","CO","801258504","NONE","NONE OF THE ABOVE","FYHNA5WC8XD7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","04236",
"FA882322F2007","FA882320D0001","P00002","0","DO Delivery Order","$13,558,371.00","Dec 9, 2022","Aug 4, 2021","5700","DEPT OF THE AIR FORCE","FA8823  SUSTAINMENT MCPNT SSC/PKL","S","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","541330","ENGINEERING SERVICES","LITTLETON","CO","801258504","NONE","NONE OF THE ABOVE","FYHNA5WC8XD7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","04236",
"H9225421F2519","H9225417D0001","P00003","0","DO Delivery Order","$27,016,735.00","Jul 12, 2022","Apr 6, 2021","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","SPECIAL OPERATIONS FORCES SPT ACTY","S","R706","SUPPORT- MANAGEMENT: LOGISTICS SUPPORT","561990","ALL OTHER SUPPORT SERVICES","LEXINGTON","KY","405169721","NONE","NONE OF THE ABOVE","JKVWEPKJRR65","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","622B7",
"H9225422F2556","H9225417D0001","0","0","DO Delivery Order","$22,198,298.00","Apr 7, 2022","Sep 3, 2021","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","SPECIAL OPERATIONS FORCES SPT ACTY","S","R706","SUPPORT- MANAGEMENT: LOGISTICS SUPPORT","561990","ALL OTHER SUPPORT SERVICES","LEXINGTON","KY","405169721","NONE","NONE OF THE ABOVE","JKVWEPKJRR65","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","622B7",
"HQ014716C0011",,"P00141","0","DCA Definitive Contract","$13,112,489.13","Jan 18, 2022",,"97JC","MISSILE DEFENSE AGENCY (MDA)","MISSILE DEFENSE AGENCY (MDA)","P","5840","RADAR EQUIPMENT, EXCEPT AIRBORNE","334511","SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING","MOORESTOWN","NJ","080573054",,,"CWM4UN76ZQW8","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","02769",
"HQ014717C0032",,"P00049","0","DCA Definitive Contract","$1,423,660,557.59","Mar 31, 2022",,"97JC","MISSILE DEFENSE AGENCY (MDA)","MISSILE DEFENSE AGENCY (MDA)","P","1410","GUIDED MISSILES","336414","GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING","GRAND PRAIRIE","TX","750512704",,,"XFJMYSYFJEK4","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","64059",
"HQ014717F0051","HQ014712D0001","P00039","0","DO Delivery Order","$10,879,924.00","May 26, 2022",,"97JC","MISSILE DEFENSE AGENCY (MDA)","MISSILE DEFENSE AGENCY (MDA)","S","AC24","NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; R&D ADMINISTRATIVE EXPENSES","541720","RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES","SUNNYVALE","CA","940891212",,,"CQWLW9XRQTH5","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","06887",
"HQ072722F1102","HQ072716D0001","P00001","0","DO Delivery Order","$16,520,924.00","Jul 29, 2022","Mar 29, 2022","9771","DEFENSE MICROELECTRONICS ACTIVITY (DMEA)","DEFENSE MICROELECTRONICS ACTIVITY","S","AC13","NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; EXPERIMENTAL DEVELOPMENT","541330","ENGINEERING SERVICES","OWEGO","NY","138273900","NONE","NONE OF THE ABOVE","HJP4JZG1FUL9","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","03640",
"HQ085121C0002",,"P00032","0","DCA Definitive Contract","$23,835,173.00","May 5, 2022","Jan 28, 2019","97JC","MISSILE DEFENSE AGENCY (MDA)","MISSILE DEFENSE AGENCY (MDA)","S","AC24","NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; R&D ADMINISTRATIVE EXPENSES","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","MOORESTOWN","NJ","080573054","NONE","NONE OF THE ABOVE","CWM4UN76ZQW8","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","02769",
"HQ085220F0002","HQ014712D0003","P00070","0","DO Delivery Order","$15,290,000.00","Jul 21, 2022","Jul 19, 2019","97JC","MISSILE DEFENSE AGENCY (MDA)","MISSILE DEFENSE AGENCY (MDA)","S","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","GAITHERSBURG","MD","208783328","NONE","NONE OF THE ABOVE","NPTBVK49FNB3","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","3VQB0",
"HQ085220F0002","HQ014712D0003","P00072","0","DO Delivery Order","$21,433,807.00","Aug 18, 2022","Jul 19, 2019","97JC","MISSILE DEFENSE AGENCY (MDA)","MISSILE DEFENSE AGENCY (MDA)","S","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","GAITHERSBURG","MD","208783328","NONE","NONE OF THE ABOVE","NPTBVK49FNB3","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","3VQB0",
"HQ085621C0001",,"P00025","0","DCA Definitive Contract","$115,965,497.50","Dec 1, 2022","Apr 26, 2020","97JC","MISSILE DEFENSE AGENCY (MDA)","MISSILE DEFENSE AGENCY (MDA)","S","AC13","NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; EXPERIMENTAL DEVELOPMENT","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HUNTSVILLE","AL","358051949","NONE","NONE OF THE ABOVE","NGBVY5X32XZ5","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","5D177",
"HQ086222F0007","HQ014718D0011","P00004","0","DO Delivery Order","$11,790,000.00","Nov 16, 2022","Jul 12, 2018","97JC","MISSILE DEFENSE AGENCY (MDA)","MISSILE DEFENSE AGENCY (MDA)","P","5840","RADAR EQUIPMENT, EXCEPT AIRBORNE","334511","SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING","MOORESTOWN","NJ","080573054","NONE","NONE OF THE ABOVE","CWM4UN76ZQW8","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","02769",
"N0001919C0013",,"P00040","0","DCA Definitive Contract","$15,000,000.00","Jun 1, 2022","May 31, 2018","1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","P","1520","AIRCRAFT, ROTARY WING","336411","AIRCRAFT MANUFACTURING","OWEGO","NY","138273900","NONE","NONE OF THE ABOVE","HJP4JZG1FUL9","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","03640",
"N0001919C0013",,"P00041","0","DCA Definitive Contract","$37,836,503.03","Jun 22, 2022","May 31, 2018","1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","P","1520","AIRCRAFT, ROTARY WING","336411","AIRCRAFT MANUFACTURING","OWEGO","NY","138273900","NONE","NONE OF THE ABOVE","HJP4JZG1FUL9","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","03640",
"N0001919F2474","N0001914G0020","P00031","0","DO Delivery Order","$52,497,387.09","Mar 24, 2022","Dec 27, 2018","1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","S","AC15","NATIONAL DEFENSE R&D SVCS; DEPARTMENT OF DEFENSE - MILITARY; R&D FACILITIES & MAJ EQUIP","336411","AIRCRAFT MANUFACTURING","FORT WORTH","TX","761083619","NONE","NONE OF THE ABOVE","G4KDGE4JFFK7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","81755",
"N0001919F2474","N0001914G0020","P00040","0","DO Delivery Order","$79,684,508.84","Nov 23, 2022","Dec 27, 2018","1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","S","AC15","NATIONAL DEFENSE R&D SVCS; DEPARTMENT OF DEFENSE - MILITARY; R&D FACILITIES & MAJ EQUIP","336411","AIRCRAFT MANUFACTURING","FORT WORTH","TX","761083619","NONE","NONE OF THE ABOVE","G4KDGE4JFFK7","JSQTW5L2SSM1","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","81755",
"N0001920C0009",,"P00016","0","DCA Definitive Contract","$5,164,381,277.00","Aug 12, 2022","Feb 13, 2019","1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","P","1510","AIRCRAFT, FIXED WING","336411","AIRCRAFT MANUFACTURING","FORT WORTH","TX","761083619","S","SERVICE CONTRACT INVENTORY (FAR 4.17)","G4KDGE4JFFK7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","81755",
"N0001920C0032",,"P00015","16","DCA Definitive Contract","$162,822,070.00","Feb 9, 2022","Sep 15, 2017","1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","P","1510","AIRCRAFT, FIXED WING","336411","AIRCRAFT MANUFACTURING","FORT WORTH","TX","761083619","NONE","NONE OF THE ABOVE","G4KDGE4JFFK7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","81755",
"N0001920F0078","N0001919G0008","P00005","16","DO Delivery Order","$13,519,906.00","Sep 26, 2022","May 29, 2020","1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","P","1510","AIRCRAFT, FIXED WING","336411","AIRCRAFT MANUFACTURING","FORT WORTH","TX","761083619","NONE","NONE OF THE ABOVE","G4KDGE4JFFK7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","81755",
"N0001921C0020",,"P00051","0","DCA Definitive Contract","$289,730,287.00","Sep 13, 2022","Sep 30, 2019","1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","P","1510","AIRCRAFT, FIXED WING","336411","AIRCRAFT MANUFACTURING","FORT WORTH","TX","761083619","NONE","NONE OF THE ABOVE","G4KDGE4JFFK7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","81755",
"N0001921F0042","N0001919G0029","P00005","0","DO Delivery Order","$10,246,998.00","May 3, 2022","Jun 8, 2020","1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","P","1520","AIRCRAFT, ROTARY WING","336413","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","OWEGO","NY","138273900","NONE","NONE OF THE ABOVE","HJP4JZG1FUL9","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","03640",
"N0001921F0709","N0001919G0029","P00003","0","DO Delivery Order","$40,353,378.00","Apr 14, 2022","Nov 21, 2019","1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","P","1615","HELICOPTER ROTOR BLADES, DRIVE MECHANISMS AND COMPONENTS","336413","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","OWEGO","NY","138273900","NONE","NONE OF THE ABOVE","HJP4JZG1FUL9","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","03640",
"N0001921F0849","N0001919G0008","P00001","0","DO Delivery Order","$27,815,349.41","Jul 28, 2022","Apr 22, 2021","1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","P","1510","AIRCRAFT, FIXED WING","336411","AIRCRAFT MANUFACTURING","FORT WORTH","TX","761083619","NONE","NONE OF THE ABOVE","G4KDGE4JFFK7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","81755",
"N0001922F0010","N0001919G0011","0","0","DO Delivery Order","$11,400,000.00","Jun 9, 2022","Sep 15, 2021","1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","P","1410","GUIDED MISSILES","336414","GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING","ORLANDO","FL","328198907","NONE","NONE OF THE ABOVE","H7PNSVNN5827","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","04939",
"N0001922F2376","N0001919G0029","0","0","DO Delivery Order","$10,000,000.00","Jul 25, 2022","Aug 30, 2021","1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","P","1520","AIRCRAFT, ROTARY WING","336413","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","OWEGO","NY","138273900","NONE","NONE OF THE ABOVE","HJP4JZG1FUL9","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","03640",
